animal,age,temperature,symptom 1,symptom 2,symptom 3,disease
sheep,10,102.2,loss of appetite,sores on tongue,lameness,foot and mouth
goat,8,101.9,nasal discharge,depression,loss of appetite,pneumonia
goat,1,103.9,sores on gums,difficulty walking,loss of appetite,foot and mouth
goat,6,39.3,nasal discharge,lameness,watering eyes,lumpy skin disease
goat,2,37.1,weight loss,anemia,pale mucous membranes,parasite infestation
cow,11,100.6,loss of appetite,difficult breathing,depression,pneumonia
goat,6,101.4,lameness,loss of appetite,blisters on mouth,foot and mouth
sheep,2,37.5,loss of appetite,sudden death,kicking abdomen,bloat
sheep,9,103.9,loss of appetite,swelling in limb,difficulty walking,blackleg
buffalo,6,104.1,depression,coughing,loss of appetite,pneumonia
buffalo,12,100.3,coughing,loss of appetite,depression,pneumonia
goat,2,100.7,loss of appetite,difficulty walking,sores on hooves,foot and mouth
goat,2,39.1,fatigue,weakness,salivation,pasteurellosis
cow,12,104.3,painless lumps,loss of appetite,depression,lumpy skin disease
goat,3,103.7,loss of appetite,difficult breathing,depression,pneumonia
sheep,2,101.9,loss of appetite,crackling sound,lameness,blackleg
sheep,8,100.6,swelling in limb,lameness,depression,blackleg
goat,4,102.0,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
goat,2,100.4,difficulty walking,loss of appetite,crackling sound,blackleg
goat,9,101.2,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,13,104.7,swelling in muscle,crackling sound,difficulty walking,blackleg
sheep,8,104.1,difficult breathing,depression,loss of appetite,pneumonia
buffalo,2,103.3,depression,loss of appetite,nasal discharge,pneumonia
sheep,2,102.1,loss of appetite,nasal discharge,depression,pneumonia
sheep,4,37.9,nasal discharge,depression,fatigue,pasteurellosis
buffalo,3,40.1,crepitation under skin,loss of appetite,lameness,blackleg
goat,5,37.4,nasal discharge,coughing,depression,pasteurellosis
goat,8,100.7,lameness,loss of appetite,sores on gums,foot and mouth
sheep,3,39.3,swelling in neck,coughing,depression,pasteurellosis
buffalo,14,101.6,depression,loss of appetite,painless lumps,lumpy skin disease
sheep,7,104.4,painless lumps,depression,loss of appetite,lumpy skin disease
buffalo,10,100.7,lameness,loss of appetite,crackling sound,blackleg
goat,10,102.4,sores on tongue,loss of appetite,difficulty walking,foot and mouth
cow,1,37.1,convulsions,fever,diarrhea,enterotoxemia
cow,15,102.3,depression,nasal discharge,loss of appetite,pneumonia
sheep,9,102.5,difficult breathing,depression,loss of appetite,pneumonia
sheep,5,39.3,loss of appetite,swelling in muscles,lameness,blackleg
cow,7,39.2,sores on mouth,sores on hooves,salivation,foot and mouth disease
goat,7,102.9,crackling sound,depression,loss of appetite,blackleg
sheep,10,101.3,depression,difficult breathing,loss of appetite,pneumonia
buffalo,5,101.4,depression,swelling in muscle,difficulty walking,blackleg
cow,14,104.1,depression,difficulty walking,swelling in muscle,blackleg
goat,7,38.1,fatigue,salivation,high fever,pasteurellosis
sheep,10,40.7,trembling,abdominal pain,weakness,enterotoxemia
buffalo,1,100.2,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
buffalo,4,100.5,depression,coughing,loss of appetite,pneumonia
buffalo,5,103.1,loss of appetite,depression,coughing,pneumonia
cow,6,41.1,weakness,fatigue,depression,pasteurellosis
goat,4,102.1,depression,nasal discharge,loss of appetite,pneumonia
goat,3,101.8,loss of appetite,sores on hooves,difficulty walking,foot and mouth
sheep,5,100.3,loss of appetite,difficulty walking,blisters on gums,foot and mouth
sheep,5,101.8,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
goat,4,104.9,difficulty walking,crackling sound,depression,blackleg
sheep,3,104.3,lameness,blisters on gums,loss of appetite,foot and mouth
buffalo,11,103.8,loss of appetite,depression,painless lumps,lumpy skin disease
cow,15,102.4,depression,painless lumps,loss of appetite,lumpy skin disease
buffalo,5,102.7,difficulty walking,loss of appetite,sores on hooves,foot and mouth
sheep,8,104.0,depression,coughing,loss of appetite,pneumonia
buffalo,6,104.1,loss of appetite,blisters on gums,difficulty walking,foot and mouth
buffalo,13,100.3,sores on hooves,difficulty walking,loss of appetite,foot and mouth
goat,5,38.2,high fever,coughing,fatigue,pasteurellosis
goat,7,103.8,lameness,loss of appetite,sores on mouth,foot and mouth
buffalo,7,104.8,difficulty walking,sores on tongue,loss of appetite,foot and mouth
buffalo,6,100.0,lameness,depression,swelling in limb,blackleg
buffalo,1,101.6,depression,crackling sound,swelling in muscle,blackleg
cow,11,101.7,depression,nasal discharge,loss of appetite,pneumonia
goat,7,37.2,depression,nasal discharge,high fever,pasteurellosis
cow,7,103.8,lameness,loss of appetite,depression,blackleg
buffalo,12,100.3,difficulty walking,crackling sound,swelling in muscle,blackleg
cow,4,101.5,lameness,loss of appetite,sores on mouth,foot and mouth
cow,9,104.7,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
goat,4,101.7,painless lumps,loss of appetite,depression,lumpy skin disease
goat,9,37.0,depression,high fever,coughing,pasteurellosis
sheep,5,104.8,swelling in limb,difficulty walking,crackling sound,blackleg
cow,1,103.8,swelling in muscle,crackling sound,lameness,blackleg
cow,7,101.4,depression,crackling sound,swelling in limb,blackleg
goat,3,101.9,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
cow,2,100.8,depression,coughing,loss of appetite,pneumonia
buffalo,12,103.7,loss of appetite,depression,painless lumps,lumpy skin disease
cow,12,102.2,depression,difficult breathing,loss of appetite,pneumonia
buffalo,6,101.9,blisters on tongue,loss of appetite,lameness,foot and mouth
buffalo,2,104.7,loss of appetite,crackling sound,swelling in muscle,blackleg
sheep,7,100.1,coughing,loss of appetite,depression,pneumonia
buffalo,4,105.0,sores on mouth,lameness,loss of appetite,foot and mouth
buffalo,8,104.2,lameness,loss of appetite,blisters on mouth,foot and mouth
cow,4,102.1,difficulty walking,loss of appetite,blisters on gums,foot and mouth
goat,2,103.9,lameness,sores on hooves,loss of appetite,foot and mouth
cow,6,103.4,loss of appetite,depression,coughing,pneumonia
goat,1,100.8,depression,difficulty walking,crackling sound,blackleg
buffalo,8,102.2,crackling sound,depression,difficulty walking,blackleg
cow,13,102.0,lameness,sores on tongue,loss of appetite,foot and mouth
sheep,1,103.7,depression,loss of appetite,nasal discharge,pneumonia
goat,4,100.6,depression,loss of appetite,crackling sound,blackleg
sheep,7,40.2,high fever,depression,loss of appetite,pasteurellosis
sheep,9,103.4,depression,loss of appetite,painless lumps,lumpy skin disease
cow,13,101.9,lameness,swelling in muscle,crackling sound,blackleg
buffalo,10,100.7,swelling in limb,crackling sound,loss of appetite,blackleg
cow,4,100.3,coughing,loss of appetite,depression,pneumonia
buffalo,4,100.4,swelling in limb,lameness,depression,blackleg
cow,15,103.0,depression,swelling in limb,loss of appetite,blackleg
sheep,2,102.0,coughing,loss of appetite,depression,pneumonia
goat,9,40.1,salivation,fatigue,depression,pasteurellosis
sheep,6,38.5,difficulty walking,depression,crepitation under skin,blackleg
goat,6,100.9,difficult breathing,depression,loss of appetite,pneumonia
buffalo,10,39.2,loss of appetite,crepitation under skin,high fever,blackleg
goat,5,101.5,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
cow,7,40.1,salivation,swelling in neck,loss of appetite,pasteurellosis
goat,5,102.7,crackling sound,loss of appetite,depression,blackleg
buffalo,2,100.4,swelling in muscle,crackling sound,loss of appetite,blackleg
cow,13,101.3,coughing,depression,loss of appetite,pneumonia
buffalo,13,103.8,depression,painless lumps,loss of appetite,lumpy skin disease
sheep,9,38.6,high temperature,udder redness,fatigue,mastitis
cow,15,103.4,painless lumps,depression,loss of appetite,lumpy skin disease
goat,2,102.7,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
cow,10,40.1,weakness,loss of appetite,pale mucous membranes,parasite infestation
buffalo,7,100.5,loss of appetite,depression,nasal discharge,pneumonia
goat,10,104.9,sores on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,3,104.9,loss of appetite,lameness,blisters on mouth,foot and mouth
cow,9,101.7,depression,nasal discharge,loss of appetite,pneumonia
goat,1,103.8,crackling sound,difficulty walking,depression,blackleg
buffalo,2,102.6,swelling in limb,crackling sound,depression,blackleg
buffalo,2,101.9,crackling sound,loss of appetite,depression,blackleg
goat,9,38.6,swelling in neck,salivation,loss of appetite,pasteurellosis
cow,3,41.5,swelling in neck,weakness,nasal discharge,pasteurellosis
cow,15,100.8,painless lumps,depression,loss of appetite,lumpy skin disease
sheep,5,40.7,udder redness,loss of appetite,fever,mastitis
goat,10,103.4,loss of appetite,sores on mouth,lameness,foot and mouth
goat,1,39.0,nasal discharge,skin nodules,watering eyes,lumpy skin disease
goat,10,100.6,sores on hooves,loss of appetite,difficulty walking,foot and mouth
sheep,2,40.2,swelling in neck,fatigue,difficulty breathing,pasteurellosis
sheep,7,104.6,crackling sound,loss of appetite,depression,blackleg
cow,12,100.5,loss of appetite,coughing,depression,pneumonia
goat,8,102.6,crackling sound,swelling in limb,lameness,blackleg
buffalo,9,101.8,painless lumps,loss of appetite,depression,lumpy skin disease
goat,10,102.1,depression,loss of appetite,swelling in muscle,blackleg
sheep,9,103.0,loss of appetite,depression,nasal discharge,pneumonia
buffalo,4,104.1,depression,loss of appetite,painless lumps,lumpy skin disease
goat,5,100.4,sores on hooves,loss of appetite,lameness,foot and mouth
goat,4,37.9,high fever,fatigue,depression,pasteurellosis
goat,7,104.5,lameness,depression,crackling sound,blackleg
cow,4,102.0,crackling sound,depression,swelling in muscle,blackleg
sheep,7,39.9,salivation,difficulty breathing,nasal discharge,pasteurellosis
buffalo,1,104.6,lameness,loss of appetite,sores on hooves,foot and mouth
sheep,4,41.1,depression,salivation,loss of appetite,pasteurellosis
cow,11,102.6,depression,loss of appetite,nasal discharge,pneumonia
cow,8,103.6,loss of appetite,nasal discharge,depression,pneumonia
goat,9,39.1,loss of appetite,weakness,coughing,pasteurellosis
sheep,8,102.4,loss of appetite,difficult breathing,depression,pneumonia
cow,5,39.1,loss of appetite,weakness,fatigue,pasteurellosis
buffalo,8,39.1,loss of appetite,weakness,salivation,pasteurellosis
cow,4,104.5,crackling sound,depression,loss of appetite,blackleg
cow,6,100.8,depression,painless lumps,loss of appetite,lumpy skin disease
buffalo,8,103.1,blisters on gums,lameness,loss of appetite,foot and mouth
cow,12,103.2,depression,loss of appetite,difficult breathing,pneumonia
cow,4,102.6,painless lumps,loss of appetite,depression,lumpy skin disease
goat,8,40.9,nasal discharge,salivation,weakness,pasteurellosis
sheep,7,104.0,crackling sound,difficulty walking,swelling in limb,blackleg
sheep,3,102.6,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,13,104.5,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
buffalo,2,100.1,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
cow,5,38.2,swelling in neck,loss of appetite,depression,pasteurellosis
cow,7,38.6,convulsions,bloated abdomen,depression,enterotoxemia
sheep,6,37.1,milk clots,reduced milk yield,high temperature,mastitis
buffalo,2,104.5,loss of appetite,crackling sound,depression,blackleg
cow,2,40.2,loss of appetite,weakness,high fever,pasteurellosis
cow,9,101.3,loss of appetite,lameness,sores on mouth,foot and mouth
goat,8,101.7,depression,loss of appetite,painless lumps,lumpy skin disease
buffalo,7,101.8,loss of appetite,swelling in limb,lameness,blackleg
buffalo,3,37.1,fever,high temperature,loss of appetite,mastitis
cow,13,101.7,painless lumps,loss of appetite,depression,lumpy skin disease
goat,7,104.9,crackling sound,loss of appetite,swelling in limb,blackleg
sheep,3,101.1,painless lumps,loss of appetite,depression,lumpy skin disease
cow,3,102.3,loss of appetite,depression,crackling sound,blackleg
buffalo,1,38.5,difficulty breathing,depression,salivation,pasteurellosis
cow,6,38.5,weakness,fatigue,loss of appetite,pasteurellosis
goat,10,102.4,lameness,sores on tongue,loss of appetite,foot and mouth
cow,4,37.4,nasal discharge,salivation,fatigue,pasteurellosis
sheep,2,103.9,crackling sound,difficulty walking,swelling in muscle,blackleg
goat,6,103.9,painless lumps,depression,loss of appetite,lumpy skin disease
goat,6,100.7,depression,loss of appetite,painless lumps,lumpy skin disease
buffalo,5,102.9,depression,swelling in muscle,crackling sound,blackleg
goat,3,101.1,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,11,103.4,loss of appetite,difficult breathing,depression,pneumonia
sheep,9,102.7,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
cow,8,38.2,fatigue,painful udder,loss of appetite,mastitis
buffalo,5,38.6,lesions on skin,enlarged lymph nodes,loss of appetite,lumpy skin disease
goat,8,102.6,loss of appetite,swelling in limb,crackling sound,blackleg
cow,4,37.1,weight loss,swollen joints,fever,brucellosis
goat,1,39.9,salivation,nasal discharge,weakness,pasteurellosis
cow,12,104.6,painless lumps,depression,loss of appetite,lumpy skin disease
sheep,2,102.4,depression,loss of appetite,painless lumps,lumpy skin disease
buffalo,2,101.2,loss of appetite,depression,painless lumps,lumpy skin disease
cow,13,101.0,lameness,loss of appetite,swelling in muscle,blackleg
buffalo,9,41.5,high fever,coughing,depression,pasteurellosis
cow,1,103.8,lameness,crackling sound,depression,blackleg
sheep,2,105.0,crackling sound,depression,swelling in muscle,blackleg
cow,6,100.3,nasal discharge,depression,loss of appetite,pneumonia
sheep,6,101.8,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
buffalo,3,102.2,depression,painless lumps,loss of appetite,lumpy skin disease
cow,9,39.9,weakness,fatigue,coughing,pasteurellosis
cow,8,101.6,depression,painless lumps,loss of appetite,lumpy skin disease
buffalo,2,101.7,difficult breathing,loss of appetite,depression,pneumonia
sheep,10,100.6,loss of appetite,difficulty walking,crackling sound,blackleg
goat,6,104.4,blisters on tongue,lameness,loss of appetite,foot and mouth
cow,9,38.5,nasal discharge,loss of appetite,high fever,pasteurellosis
goat,4,101.8,crackling sound,lameness,depression,blackleg
cow,2,101.9,depression,loss of appetite,swelling in muscle,blackleg
buffalo,2,40.2,fatigue,loss of appetite,nasal discharge,pasteurellosis
cow,9,104.0,sores on tongue,difficulty walking,loss of appetite,foot and mouth
cow,11,102.4,loss of appetite,painless lumps,depression,lumpy skin disease
buffalo,12,102.7,loss of appetite,coughing,depression,pneumonia
cow,10,40.9,salivation,difficulty breathing,nasal discharge,pasteurellosis
goat,7,102.9,difficulty walking,depression,loss of appetite,blackleg
cow,4,103.2,depression,nasal discharge,loss of appetite,pneumonia
goat,6,38.6,loss of appetite,chest pain,difficulty breathing,pneumonia
buffalo,8,102.0,difficult breathing,loss of appetite,depression,pneumonia
cow,9,100.6,painless lumps,loss of appetite,depression,lumpy skin disease
buffalo,6,100.4,crackling sound,difficulty walking,swelling in limb,blackleg
buffalo,1,101.4,lameness,sores on tongue,loss of appetite,foot and mouth
sheep,5,104.4,crackling sound,loss of appetite,depression,blackleg
buffalo,7,102.3,loss of appetite,depression,painless lumps,lumpy skin disease
goat,3,101.9,sores on tongue,lameness,loss of appetite,foot and mouth
sheep,8,102.8,crackling sound,swelling in limb,depression,blackleg
buffalo,6,100.8,sores on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,1,100.3,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
goat,10,39.9,loss of appetite,high fever,coughing,pasteurellosis
goat,7,37.4,loss of appetite,high fever,depression,pasteurellosis
buffalo,1,37.9,high fever,swelling in neck,depression,pasteurellosis
goat,5,103.1,loss of appetite,crackling sound,swelling in limb,blackleg
goat,10,103.5,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,7,38.2,coughing,weakness,nasal discharge,pasteurellosis
goat,9,101.2,painless lumps,depression,loss of appetite,lumpy skin disease
buffalo,12,101.7,swelling in limb,crackling sound,difficulty walking,blackleg
sheep,8,100.8,crackling sound,loss of appetite,swelling in limb,blackleg
sheep,2,102.7,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
buffalo,12,102.8,depression,loss of appetite,painless lumps,lumpy skin disease
buffalo,11,100.7,difficult breathing,loss of appetite,depression,pneumonia
sheep,6,101.0,depression,painless lumps,loss of appetite,lumpy skin disease
goat,9,40.9,coughing,difficulty breathing,salivation,pasteurellosis
buffalo,14,101.5,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
cow,3,102.3,loss of appetite,lameness,swelling in limb,blackleg
buffalo,15,104.4,loss of appetite,sores on hooves,lameness,foot and mouth
sheep,6,38.6,sores on mouth,loss of appetite,drooling,foot and mouth disease
goat,10,103.1,depression,coughing,loss of appetite,pneumonia
goat,7,37.2,weakness,swelling in neck,loss of appetite,pasteurellosis
buffalo,14,101.2,lameness,loss of appetite,sores on gums,foot and mouth
cow,2,103.3,loss of appetite,depression,nasal discharge,pneumonia
cow,1,37.3,fatigue,nasal discharge,difficulty breathing,pasteurellosis
cow,5,103.9,difficulty walking,loss of appetite,crackling sound,blackleg
cow,9,102.5,loss of appetite,difficulty walking,swelling in limb,blackleg
goat,2,104.0,depression,loss of appetite,nasal discharge,pneumonia
buffalo,9,40.1,difficulty breathing,coughing,salivation,pasteurellosis
cow,4,100.7,lameness,crackling sound,loss of appetite,blackleg
goat,6,37.1,reduced movement,abdominal swelling,stomach distention,bloat
buffalo,2,41.5,fatigue,loss of appetite,difficulty breathing,pasteurellosis
buffalo,8,40.1,sudden death,distress,stomach distention,bloat
goat,5,103.6,loss of appetite,painless lumps,depression,lumpy skin disease
goat,7,38.1,difficulty breathing,nasal discharge,salivation,pasteurellosis
cow,15,104.6,depression,difficulty walking,swelling in muscle,blackleg
goat,2,101.1,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
cow,7,39.3,fatigue,coughing,salivation,pasteurellosis
sheep,7,100.8,depression,loss of appetite,painless lumps,lumpy skin disease
buffalo,2,101.3,swelling in limb,depression,lameness,blackleg
buffalo,15,102.9,swelling in muscle,difficulty walking,crackling sound,blackleg
sheep,4,103.8,difficulty walking,sores on mouth,loss of appetite,foot and mouth
sheep,10,40.9,difficulty breathing,high fever,weakness,pasteurellosis
sheep,10,103.1,difficult breathing,loss of appetite,depression,pneumonia
buffalo,11,102.9,crackling sound,loss of appetite,difficulty walking,blackleg
buffalo,5,39.1,nasal discharge,difficulty breathing,coughing,pasteurellosis
cow,1,101.2,sores on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,11,102.0,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
cow,6,101.0,sores on hooves,lameness,loss of appetite,foot and mouth
goat,4,104.0,loss of appetite,crackling sound,depression,blackleg
goat,4,38.6,weakness,coughing,high fever,pasteurellosis
buffalo,4,37.1,fatigue,loss of appetite,pale mucous membranes,parasite infestation
goat,3,37.4,loss of appetite,convulsions,diarrhea,enterotoxemia
buffalo,11,101.3,loss of appetite,depression,painless lumps,lumpy skin disease
goat,2,38.5,nasal discharge,coughing,swelling in neck,pasteurellosis
goat,9,104.2,sores on tongue,lameness,loss of appetite,foot and mouth
sheep,4,37.5,swelling in muscles,depression,crepitation under skin,blackleg
goat,5,102.9,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
cow,5,102.8,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,10,101.9,loss of appetite,difficulty walking,blisters on gums,foot and mouth
cow,13,102.1,loss of appetite,sores on gums,difficulty walking,foot and mouth
buffalo,4,101.6,blisters on mouth,loss of appetite,lameness,foot and mouth
goat,1,103.1,difficult breathing,loss of appetite,depression,pneumonia
goat,5,102.8,depression,nasal discharge,loss of appetite,pneumonia
goat,7,38.5,coughing,swelling in neck,difficulty breathing,pasteurellosis
goat,3,103.8,crackling sound,swelling in limb,loss of appetite,blackleg
cow,10,103.9,nasal discharge,depression,loss of appetite,pneumonia
buffalo,13,103.6,swelling in limb,depression,difficulty walking,blackleg
sheep,6,38.9,weight loss,loss of appetite,scratching,parasite infestation
buffalo,1,38.6,fatigue,diarrhea,anemia,parasite infestation
goat,8,101.6,depression,loss of appetite,nasal discharge,pneumonia
buffalo,6,37.1,fever,loss of appetite,lesions on skin,lumpy skin disease
sheep,9,37.9,coughing,depression,loss of appetite,pasteurellosis
goat,4,101.7,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,6,37.6,high fever,depression,crepitation under skin,blackleg
sheep,4,101.1,loss of appetite,difficulty walking,sores on gums,foot and mouth
buffalo,2,102.8,crackling sound,depression,swelling in muscle,blackleg
cow,13,100.0,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
goat,8,103.1,swelling in muscle,loss of appetite,depression,blackleg
buffalo,2,37.2,difficulty breathing,high fever,fatigue,pasteurellosis
cow,8,100.6,sores on tongue,loss of appetite,lameness,foot and mouth
buffalo,4,104.4,lameness,loss of appetite,sores on mouth,foot and mouth
sheep,9,40.1,swelling in neck,high fever,nasal discharge,pasteurellosis
goat,3,103.5,loss of appetite,painless lumps,depression,lumpy skin disease
goat,1,37.2,loss of appetite,fatigue,weakness,pasteurellosis
sheep,1,37.4,high fever,salivation,coughing,pasteurellosis
goat,1,101.7,painless lumps,loss of appetite,depression,lumpy skin disease
sheep,1,104.6,depression,loss of appetite,painless lumps,lumpy skin disease
cow,12,104.6,sores on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,7,104.6,depression,swelling in limb,crackling sound,blackleg
goat,3,37.3,salivation,loss of appetite,nasal discharge,pasteurellosis
goat,8,38.1,swelling in neck,nasal discharge,loss of appetite,pasteurellosis
buffalo,11,101.5,lameness,sores on hooves,loss of appetite,foot and mouth
sheep,4,37.0,high fever,swelling in neck,coughing,pasteurellosis
sheep,4,101.3,blisters on gums,lameness,loss of appetite,foot and mouth
cow,3,103.0,loss of appetite,painless lumps,depression,lumpy skin disease
sheep,10,104.9,loss of appetite,depression,swelling in limb,blackleg
sheep,3,103.1,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
buffalo,5,39.1,high fever,depression,difficulty breathing,pasteurellosis
cow,14,101.3,loss of appetite,lameness,blisters on mouth,foot and mouth
buffalo,13,102.8,loss of appetite,difficult breathing,depression,pneumonia
goat,4,100.8,blisters on gums,loss of appetite,lameness,foot and mouth
cow,5,39.3,depression,abdominal pain,fever,enterotoxemia
cow,13,102.9,blisters on gums,loss of appetite,difficulty walking,foot and mouth
goat,7,104.6,loss of appetite,swelling in limb,depression,blackleg
buffalo,9,103.4,crackling sound,loss of appetite,difficulty walking,blackleg
cow,10,100.2,difficulty walking,loss of appetite,sores on gums,foot and mouth
cow,6,40.9,loss of appetite,difficulty breathing,weakness,pasteurellosis
sheep,5,101.7,blisters on tongue,loss of appetite,lameness,foot and mouth
buffalo,2,101.9,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
buffalo,9,102.7,loss of appetite,painless lumps,depression,lumpy skin disease
cow,7,102.7,loss of appetite,swelling in muscle,difficulty walking,blackleg
cow,9,103.6,difficult breathing,loss of appetite,depression,pneumonia
goat,8,39.9,depression,weakness,loss of appetite,pasteurellosis
goat,5,104.1,loss of appetite,lameness,blisters on mouth,foot and mouth
buffalo,3,37.5,reduced milk yield,fever,weight loss,foot and mouth disease
sheep,10,101.1,loss of appetite,difficulty walking,depression,blackleg
buffalo,11,100.4,lameness,loss of appetite,depression,blackleg
sheep,5,103.4,loss of appetite,depression,painless lumps,lumpy skin disease
goat,4,38.2,nasal discharge,weakness,swelling in neck,pasteurellosis
cow,9,100.5,depression,lameness,swelling in muscle,blackleg
sheep,5,40.1,coughing,weakness,swelling in neck,pasteurellosis
goat,8,41.5,fatigue,loss of appetite,weakness,pasteurellosis
sheep,7,104.0,loss of appetite,sores on mouth,difficulty walking,foot and mouth
cow,10,40.1,depression,nasal discharge,fatigue,pasteurellosis
cow,3,39.1,weakness,depression,nasal discharge,pasteurellosis
sheep,3,103.7,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
goat,9,103.9,loss of appetite,swelling in limb,difficulty walking,blackleg
cow,12,101.0,difficulty walking,swelling in muscle,depression,blackleg
cow,6,102.1,lameness,loss of appetite,sores on mouth,foot and mouth
buffalo,9,103.1,depression,coughing,loss of appetite,pneumonia
buffalo,12,103.2,difficult breathing,depression,loss of appetite,pneumonia
buffalo,5,40.1,nasal discharge,weakness,difficulty breathing,pasteurellosis
sheep,10,37.1,sores on mouth,weight loss,salivation,foot and mouth disease
sheep,6,104.5,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,7,104.1,painless lumps,loss of appetite,depression,lumpy skin disease
goat,3,101.5,crackling sound,depression,swelling in muscle,blackleg
cow,11,101.3,loss of appetite,sores on mouth,lameness,foot and mouth
sheep,7,104.5,loss of appetite,difficulty walking,swelling in limb,blackleg
sheep,2,101.5,lameness,crackling sound,loss of appetite,blackleg
goat,4,40.9,loss of appetite,weakness,depression,pasteurellosis
goat,2,37.4,depression,high fever,swelling in neck,pasteurellosis
buffalo,3,38.6,difficulty breathing,coughing,depression,pasteurellosis
goat,5,103.4,coughing,depression,loss of appetite,pneumonia
buffalo,2,102.8,loss of appetite,blisters on hooves,lameness,foot and mouth
sheep,5,101.0,crackling sound,swelling in limb,lameness,blackleg
buffalo,3,102.7,sores on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,6,100.1,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
cow,6,40.9,fatigue,loss of appetite,nasal discharge,pasteurellosis
goat,1,104.8,blisters on hooves,lameness,loss of appetite,foot and mouth
sheep,5,101.1,loss of appetite,lameness,blisters on tongue,foot and mouth
buffalo,4,100.3,depression,nasal discharge,loss of appetite,pneumonia
goat,5,40.9,swelling in muscles,high fever,depression,blackleg
buffalo,1,37.1,fever,fatigue,loss of appetite,mastitis
buffalo,10,38.2,excessive salivation,difficulty breathing,distress,bloat
sheep,9,39.1,loss of appetite,depression,coughing,pasteurellosis
goat,1,101.7,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
buffalo,1,104.2,crackling sound,swelling in muscle,depression,blackleg
cow,5,100.7,depression,crackling sound,swelling in muscle,blackleg
sheep,6,38.1,swelling in neck,weakness,coughing,pasteurellosis
buffalo,3,100.4,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
goat,6,40.1,fatigue,difficulty breathing,depression,pasteurellosis
goat,10,102.5,depression,crackling sound,loss of appetite,blackleg
buffalo,1,103.0,difficulty walking,sores on mouth,loss of appetite,foot and mouth
sheep,5,100.3,loss of appetite,painless lumps,depression,lumpy skin disease
buffalo,3,40.9,depression,fever,weakness,brucellosis
sheep,5,103.7,lameness,blisters on gums,loss of appetite,foot and mouth
sheep,2,39.1,nasal discharge,depression,weakness,pasteurellosis
sheep,7,40.2,nasal discharge,difficulty breathing,swelling in neck,pasteurellosis
cow,10,38.6,weakness,high fever,difficulty breathing,pasteurellosis
buffalo,2,104.0,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
goat,4,102.8,loss of appetite,depression,difficult breathing,pneumonia
goat,3,37.4,loss of appetite,swelling in neck,nasal discharge,pasteurellosis
cow,4,103.2,depression,loss of appetite,painless lumps,lumpy skin disease
sheep,3,103.3,painless lumps,depression,loss of appetite,lumpy skin disease
sheep,8,104.5,loss of appetite,lameness,sores on hooves,foot and mouth
cow,4,102.3,loss of appetite,difficulty walking,swelling in limb,blackleg
goat,6,101.4,loss of appetite,crackling sound,difficulty walking,blackleg
cow,5,37.3,nasal discharge,weakness,high fever,pasteurellosis
cow,8,104.6,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
sheep,7,101.9,loss of appetite,difficulty walking,blisters on gums,foot and mouth
buffalo,6,101.8,swelling in muscle,depression,loss of appetite,blackleg
buffalo,2,40.9,weakness,high fever,coughing,pasteurellosis
goat,4,103.7,difficult breathing,loss of appetite,depression,pneumonia
buffalo,13,101.4,painless lumps,loss of appetite,depression,lumpy skin disease
buffalo,8,100.1,loss of appetite,difficulty walking,sores on mouth,foot and mouth
cow,13,100.8,difficulty walking,swelling in muscle,depression,blackleg
buffalo,6,100.0,lameness,swelling in muscle,crackling sound,blackleg
